linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) and is a Non-Profit 501 ( ... 201-500 employés. Siège social: Tulare, California. Type: Non ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,,none,2
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) offering comprehensive medical, dental, mental health, and specialty ... 201-500 pekerja. Ibu pejabat: Yuba City , CA. Jenis: Kebajikan. Ditubuhkan ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",8,2026-04-17T07:55:48Z,https://www.amplahealth.org,ok,2
bchnhealth,https://www.linkedin.com/company/bchnhealth,Bronx Community Health Network (BCHN),1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Bronx, New York. Type: Nonprofit. Founded: 1996 ... Callen-Lorde Community Health Center. Hospitals and Health Care. New York ...","site:linkedin.com/company/ ""community health center"" ""11-50""",4,2026-04-17T07:51:05Z,https://www.bronxcommunity.org,ok_loc_only,2
