linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,resolved_domain,resolve_status,matching_people_count,harvest_company_name,harvest_company_domain,harvest_company_description,harvest_employee_count,harvest_employee_count_range,harvest_status,company_identity_match,company_healthcare_keyword_match,company_soft_qualifies,company_soft_qualifier_reason,company_recent_posts_summary
aaa-comprehensive-health-care,https://www.linkedin.com/company/aaa-comprehensive-health-care,AAA Comprehensive Health Care,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,Nov-50,,none,1,AAA Comprehensive Health Care,aaachc.org,,13,11-50,200,true,true,true,harvest identity matched company and returned a live company object,
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,,none,1,Altura Centers for Health,altura.org,"Altura Centers for Health (ALTURA) is designated as a Federally Qualified Health Center (FQHC) and is a Non-Profit 501 (c) 3.  The Centers core services are Pediatrics, Internal Medicine, Family Medicine, OB/GYN, Dental and Specialty services.  Also, provides patient transportation, education, insurance enrollment, outreach services and much more.  The Center was purchased from Tulare Local Health Care District July 1, 1998.  ALTURA is also designated as a Migrant Health Center from the Bureau of Primary Health Care (BPHC). ALTURA receives Health and Human Services (HHS) funding and has Federal PHS deemed status with respect to certain health or health related claims, including malpractice claims, for itself and its covered individuals.",82,201-500,200,true,true,true,harvest identity matched company and returned a live company object,"Thank you College of the Sequoias (COS) for the Industry Partner Award this morning. ALTURA looks forward to continuing to work with your students and staff in promoting healthcare careers. Thank you Daisy Guzman M.A., COS, for the nominati || 2026 California Primary Care Association (CPCA) Day at the Capital || Happy Birthday to ALTURA’s corporate attorney, Russ. 🎂🎈🥳🎉 Nice to run into some friends. United Health Centers of the San Joaquin Valley and Clinica Sierra Vista CEO’s and teams."
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,https://www.amplahealth.org,ok,1,Ampla Health,amplahealth.org,"Ampla Health is a 501 (c)3 non-profit network of community-based Federally Qualified Health Centers (FQHC) offering comprehensive medical, dental, mental health, and specialty healthcare services in Butte, Colusa, Glenn, Sutter, Tehama and Yuba counties.",91,201-500,200,true,true,true,harvest identity matched company and returned a live company object,
