linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
aaa-comprehensive-health-care,https://www.linkedin.com/company/aaa-comprehensive-health-care,AAA Comprehensive Health Care,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,Nov-50,"11-50 employees. Headquarters: North Hollywood, CA. Type: Self-Employed ... A Federally Qualified Health Center. Click here to view Patricia Ayala's profile ...","site:linkedin.com/company/ ""federally qualified health center"" ""11-50""",8,2026-04-17T07:53:11Z,,none,1
alturacentersforhealth,https://www.linkedin.com/company/alturacentersforhealth,Altura Centers for Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center (FQHC) and is a Non-Profit 501 ( ... 201-500 employés. Siège social: Tulare, California. Type: Non ...","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",4,2026-04-17T07:53:54Z,,none,1
del-norte-clinics-inc.,https://www.linkedin.com/company/del-norte-clinics-inc.,Ampla Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"... (FQHC) offering comprehensive medical, dental, mental health, and specialty ... 201-500 pekerja. Ibu pejabat: Yuba City , CA. Jenis: Kebajikan. Ditubuhkan ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",8,2026-04-17T07:55:48Z,https://www.amplahealth.org,ok,1
